1	patent	n./v.	专利；申请专利
2	synthetic	adj.	合成的，人造的
3	mould	v.	塑造，铸造
4	substance	n.	物质
5	be derived from	phr.	源于
6	candlewax	n.	蜡烛
7	substitute	n.	替代品
8	ivory	n.	象牙
9	domain	n.	领域
10	fluid	n.	液体
11	subject	n.	研究题目，科目
12	manufacture	v.	制造
13	filler	n.	填充物
14	moisture	n.	水分，湿气
15	vacuum	n.	真空
16	soluble	adj.	可溶的
17	initially	adv.	起初地
18	asbestos	n.	石棉
19	raw	adj.	粗的，原始的
20	pour	v.	倾倒
21	extract	v.	提取，抽取
22	evenly	adv.	均匀地
23	smooth	adj.	光滑的
24	streamlined	adj.	流线型的
25	tone	n.	语气，色调
26	drab	adj.	单调的，乏味的
27	renewed	adj.	重新的
28	originality	n.	独创性
29	innovative	adj.	创新的
30	germ	n.	细菌
31	property	n.	特性
32	array	n.	排列
33	shade	n.	色泽，树荫
34	pattern	n.	模式、图案
35	consciousness	n.	意识、观念
36	launch	v.	发动，开始
37	coin	v.	创造，杜撰
38	figure	n.	人物，数字
39	informative	adj.	提供信息的
40	mimic	v.	模仿
41	disparate	adj.	根本不同的
42	prototype	n.	原型、样本
43	diagnosis	n.	诊断
44	implement	v.	实施
45	processor	n.	处理器
46	spot	v.	发现
47	boost	v.	促进，加强
48	prospect	n.	前景
49	differentiate	v.	区别
50	exacerbate	v.	恶化
51	filter	v.	过滤
52	categorise	v.	将…分类
53	emerge	v.	开始出现
54	shatter	v.	粉碎
55	manufacturer	n.	制造商
56	cube	n.	立方体
57	analyse	v.	分析
58	crystal	n.	晶体
59	standard	n.	标准
60	consult	v.	咨询
61	transparent	adj.	透明的
62	compression	n.	压缩，压榨
63	tension	n.	压力，紧张
64	resistant	adj.	有抵抗力的
65	contract	v.	收缩
66	interior	adj.	内部的
67	layer	n.	层，阶层
68	atom	n.	原子
69	impurity	n.	杂质
70	dense	adj.	密集的，浓厚的
71	contamination	n.	污染
72	detect	v.	侦查
73	facial vision	n. phr.	面感视觉
74	sensation	n.	感觉，直觉
75	limb	n.	四肢
76	natural selection	n. phr.	物竞天择
77	coordinate	v.	协调，配合
78	successive	adj.	连续的，相继的
79	artificial	adj.	人工的
80	crucial	adj.	关键的
81	approximate	adj.	近似的
82	commence	v.	开始
83	phase	n.	阶段
84	formulate	v.	制定、规划
85	interval	n.	间隔
86	integral	adj.	必需的，完整的
87	gear	n.	齿轮
88	arc	n.	弧形
89	counterpart	n.	对应的事物
90	inflict	v.	造成
91	discharge	v.	放电
92	reveal	v.	揭示，展示
93	generate	v.	产生
94	install	v.	安装
95	trigger	v.	激发，触发
96	forthcoming	adj.	即将来临的
97	field test	n. phr.	实地测试
98	current	n.	电流
99	prompt	v.	促进，激励
100	solidify	v.	加强，使固化
101	eminent	adj.	著名的，杰出的
102	fierce	adj.	激烈的，猛烈的
103	immerse	v.	沉迷…中，陷入
104	perceive	v.	意识
105	surpass	v.	超越
106	textile	n.	纺织品
107	dye	n.	染料，颜色
108	muddy	adj.	模糊的，浑浊的
109	fade	v.	褪去，消逝
110	fabric	n.	织物，质地
111	bacteria	n.	细菌
112	prospect	n.	前景
113	emission	n.	排放
114	sustainable	adj.	可持续发展的
115	venture	n.	商业，风险项目
116	hostile	adj.	不利的，敌对的
117	renewable	adj.	可再生的
118	tidal	adj.	潮汐的
119	marine	adj.	海洋的
120	maintenance	n.	维修，保养
121	cable	n.	电缆
122	robust	adj.	坚固的
123	vibration	n.	振动
124	fire-resistant	adj.	耐高温的；防火的
125	seal	n./v.	密封
126	cellular	adj.	细胞的
127	moisture	n.	水分；潮湿
128	nutrient	n./adj.	营养物；有营养的
129	mechanical	adj.	机械的；力学的
130	virtual	adj.	事实上的
131	compound	n.	化合物；混合物
132	steady	adj.	稳定的；不变的
133	plastic	adj./n.	塑料的；塑料制品
134	sustainable	adj.	可持续的
135	synthetic	adj.	合成的，人造的
136	vulnerable	adj.	易受攻击的
137	smallholder	n.	小农；小佃农
138	infrastructure	n.	基础设施
139	mitigate	v.	使缓和，使减轻
140	intervention	n.	介入；调停；妨碍
141	compensate	v.	补偿，赔偿；抵消
142	landowner	n.	地主，土地所有者
143	scheme	n./v.	计划；搞阴谋
144	adoption	n.	采用；收养；接受
145	transparency	n.	透明，透明度
146	adequate	adj.	充足的；适当的
147	diversify	v.	使多样化，使变化
148	variety	n.	多样；种类
149	autonomous	adj.	自治的；自发的
150	minimize	v.	使缩到最小
